route,seq,location,lat,lon,color,point_type
파나마 경유,10.25,구간_10_1,8.645275,-79.920125,blue,intermediate
파나마 경유,10.5,구간_10_2,8.79055,-79.84025,blue,intermediate
파나마 경유,10.75,구간_10_3,8.935825,-79.760375,blue,intermediate
파나마 경유,11.0,파나마운하,9.0811,-79.6805,blue,waypoint
파나마 경유,11.25,구간_11_1,9.185825,-79.635375,blue,intermediate
파나마 경유,11.5,구간_11_2,9.29055,-79.59025,blue,intermediate
파나마 경유,11.75,구간_11_3,9.395275,-79.545125,blue,intermediate
파나마 경유,12.0,파나마_대서양,9.5,-79.5,blue,waypoint
파나마 경유,12.25,구간_12_1,10.875,-78.375,blue,intermediate
파나마 경유,12.5,구간_12_2,12.25,-77.25,blue,intermediate
파나마 경유,12.75,구간_12_3,13.625,-76.125,blue,intermediate
파나마 경유,13.0,카리브해,15.0,-75.0,blue,waypoint
파나마 경유,13.25,구간_13_1,18.25,-75.25,blue,intermediate
파나마 경유,13.5,구간_13_2,21.5,-75.5,blue,intermediate
파나마 경유,13.75,구간_13_3,24.75,-75.75,blue,intermediate
파나마 경유,14.0,플로리다_동부,28.0,-76.0,blue,waypoint
파나마 경유,14.25,구간_14_1,31.166075,-75.509875,blue,intermediate
파나마 경유,14.5,구간_14_2,34.33215,-75.01975,blue,intermediate
파나마 경유,14.75,구간_14_3,37.498225,-74.52962500000001,blue,intermediate
파나마 경유,15.0,뉴욕,40.6643,-74.0395,blue,waypoint
남미 우회,1.0,부산,35.1796,129.0756,red,waypoint
남미 우회,1.25,구간_1_1,30.134700000000002,128.0567,red,intermediate
남미 우회,1.5,구간_1_2,25.0898,127.0378,red,intermediate
남미 우회,1.75,구간_1_3,20.0449,126.0189,red,intermediate
남미 우회,2.0,필리핀_동부,15.0,125.0,red,waypoint
남미 우회,2.25,구간_2_1,10.0,123.75,red,intermediate
남미 우회,2.5,구간_2_2,5.0,122.5,red,intermediate
남미 우회,2.75,구간_2_3,0.0,121.25,red,intermediate
남미 우회,3.0,인도네시아,-5.0,120.0,red,waypoint
남미 우회,3.25,구간_3_1,-5.75,118.0,red,intermediate
남미 우회,3.5,구간_3_2,-6.5,116.0,red,intermediate
남미 우회,3.75,구간_3_3,-7.25,114.0,red,intermediate
남미 우회,4.0,자바해,-8.0,112.0,red,waypoint
남미 우회,4.25,구간_4_1,-11.0,110.25,red,intermediate
남미 우회,4.5,구간_4_2,-14.0,108.5,red,intermediate
남미 우회,4.75,구간_4_3,-17.0,106.75,red,intermediate
남미 우회,5.0,인도양_1,-20.0,105.0,red,waypoint
남미 우회,5.25,구간_5_1,-22.5,102.5,red,intermediate
남미 우회,5.5,구간_5_2,-25.0,100.0,red,intermediate
남미 우회,5.75,구간_5_3,-27.5,97.5,red,intermediate
남미 우회,6.0,인도양_2,-30.0,95.0,red,waypoint
남미 우회,6.25,구간_6_1,-32.0,101.25,red,intermediate
남미 우회,6.5,구간_6_2,-34.0,107.5,red,intermediate
남미 우회,6.75,구간_6_3,-36.0,113.75,red,intermediate
남미 우회,7.0,호주_서남부,-38.0,120.0,red,waypoint
남미 우회,7.25,구간_7_1,-39.0,126.25,red,intermediate
남미 우회,7.5,구간_7_2,-40.0,132.5,red,intermediate
남미 우회,7.75,구간_7_3,-41.0,138.75,red,intermediate
남미 우회,8.0,호주_남부,-42.0,145.0,red,waypoint
남미 우회,8.25,구간_8_1,-43.5,151.25,red,intermediate
남미 우회,8.5,구간_8_2,-45.0,157.5,red,intermediate
남미 우회,8.75,구간_8_3,-46.5,163.75,red,intermediate
남미 우회,9.0,뉴질랜드_남부,-48.0,170.0,red,waypoint
남미 우회,9.25,구간_9_1,-49.0,85.0,red,intermediate
남미 우회,9.5,구간_9_2,-50.0,0.0,red,intermediate
남미 우회,9.75,구간_9_3,-51.0,-85.0,red,intermediate
남미 우회,10.0,남태평양_1,-52.0,-170.0,red,waypoint
남미 우회,10.25,구간_10_1,-52.75,-162.5,red,intermediate
남미 우회,10.5,구간_10_2,-53.5,-155.0,red,intermediate
남미 우회,10.75,구간_10_3,-54.25,-147.5,red,intermediate
남미 우회,11.0,남태평양_2,-55.0,-140.0,red,waypoint
남미 우회,11.25,구간_11_1,-54.75,-123.0,red,intermediate
남미 우회,11.5,구간_11_2,-54.5,-106.0,red,intermediate
남미 우회,11.75,구간_11_3,-54.25,-89.0,red,intermediate
남미 우회,12.0,칠레_남부,-54.0,-72.0,red,waypoint
남미 우회,12.25,구간_12_1,-53.625,-71.5,red,intermediate
남미 우회,12.5,구간_12_2,-53.25,-71.0,red,intermediate
남미 우회,12.75,구간_12_3,-52.875,-70.5,red,intermediate
남미 우회,13.0,마젤란해협,-52.5,-70.0,red,waypoint
남미 우회,13.25,구간_13_1,-49.375,-67.5,red,intermediate
남미 우회,13.5,구간_13_2,-46.25,-65.0,red,intermediate
남미 우회,13.75,구간_13_3,-43.125,-62.5,red,intermediate
남미 우회,14.0,아르헨티나_동부,-40.0,-60.0,red,waypoint
남미 우회,14.25,구간_14_1,-36.25,-56.25,red,intermediate
남미 우회,14.5,구간_14_2,-32.5,-52.5,red,intermediate
남미 우회,14.75,구간_14_3,-28.75,-48.75,red,intermediate
남미 우회,15.0,브라질_남부,-25.0,-45.0,red,waypoint
남미 우회,15.25,구간_15_1,-20.0,-42.5,red,intermediate
남미 우회,15.5,구간_15_2,-15.0,-40.0,red,intermediate
남미 우회,15.75,구간_15_3,-10.0,-37.5,red,intermediate
남미 우회,16.0,브라질_북부,-5.0,-35.0,red,waypoint
남미 우회,16.25,구간_16_1,-1.25,-36.25,red,intermediate
남미 우회,16.5,구간_16_2,2.5,-37.5,red,intermediate
남미 우회,16.75,구간_16_3,6.25,-38.75,red,intermediate
남미 우회,17.0,대서양_중부,10.0,-40.0,red,waypoint
남미 우회,17.25,구간_17_1,15.0,-45.0,red,intermediate
남미 우회,17.5,구간_17_2,20.0,-50.0,red,intermediate
남미 우회,17.75,구간_17_3,25.0,-55.0,red,intermediate
남미 우회,18.0,대서양_북부,30.0,-60.0,red,waypoint
남미 우회,18.25,구간_18_1,32.666075,-63.509875,red,intermediate
남미 우회,18.5,구간_18_2,35.33215,-67.01975,red,intermediate
남미 우회,18.75,구간_18_3,37.998225,-70.52962500000001,red,intermediate
남미 우회,19.0,뉴욕,40.6643,-74.0395,red,waypoint
