shipment_id,vessel_imo,vessel_name,vessel_type,origin_port,origin_name,origin_country,dest_port,dest_name,material_code,material_name,material_category,quantity,unit,departure_dt,eta_planned,eta_actual,delay_hours,berth_start,unloading_end,customs_clear,factory_arrival,status,distance_nm,voyage_hours,berth_wait_hours,customs_hours,inland_hours,snapshot_date
SH-1043,IMO9800008,SAEMANGEUM BRIDGE,컨테이너선,CNNBO,닝보항 (Ningbo),CN,KRSMG,새만금항 (Saemangeum),RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,1771,톤,2025-03-03 14:28,2025-03-04 20:28,2025-03-04 20:28,0,2025-03-04 20:28,2025-03-05 05:20,2025-03-06 15:47,2025-03-06 17:30,하역중,570,30.0,0,34.5,1.7,2025-03-05
SH-1044,IMO9800001,HANJIN SAEMANGEUM,벌크선,CNDLC,다롄항 (Dalian),CN,KRGUN,군산항 (Gunsan),RM-PLS-01,PE 수지 (Polyethylene),화학,190,톤,2025-03-04 15:59,2025-03-05 21:59,2025-03-05 21:59,0,2025-03-05 22:59,2025-03-06 02:59,2025-03-07 05:55,2025-03-07 07:04,하역중,420,30.0,1,26.9,1.2,2025-03-06
SH-1045,IMO9800005,SUNRISE JEONBUK,벌크선,CNNBO,닝보항 (Ningbo),CN,KRSMG,새만금항 (Saemangeum),RM-PLS-01,PE 수지 (Polyethylene),화학,1124,톤,2025-03-03 14:54,2025-03-05 06:12,2025-03-05 06:12,0,2025-03-05 08:12,2025-03-05 13:50,2025-03-07 18:41,2025-03-07 19:47,통관중,570,39.3,2,52.9,1.1,2025-03-06
SH-1046,IMO9800004,GUNSAN GLORY,컨테이너선,CNSHA,상하이항 (Shanghai),CN,KRGUN,군산항 (Gunsan),RM-STL-01,열연강판 (Hot-Rolled Steel),철강,272,톤,2025-03-04 05:01,2025-03-05 13:31,2025-03-05 13:31,0,2025-03-05 21:31,2025-03-06 01:31,2025-03-06 16:07,2025-03-06 17:24,하역중,520,32.5,8,14.6,1.3,2025-03-06
SH-1047,IMO9800003,YELLOW SEA STAR,벌크선,CNSHA,상하이항 (Shanghai),CN,KRSMG,새만금항 (Saemangeum),RM-CHM-01,리튬 (Lithium Carbonate),화학,1649,톤,2025-03-03 07:58,2025-03-05 00:44,2025-03-05 00:44,0,2025-03-05 01:44,2025-03-05 09:58,2025-03-06 15:39,2025-03-06 17:11,통관중,530,40.8,1,29.7,1.5,2025-03-06
SH-1048,IMO9800007,WEST SEA PRIDE,벌크선,VNHPH,하이퐁항 (Hai Phong),VN,KRSMG,새만금항 (Saemangeum),RM-STL-01,열연강판 (Hot-Rolled Steel),철강,472,톤,2025-03-02 17:52,2025-03-06 22:36,2025-03-06 22:36,0,2025-03-06 22:36,2025-03-07 02:36,2025-03-08 07:15,2025-03-08 08:26,하역중,1360,100.7,0,28.6,1.2,2025-03-07
SH-1049,IMO9800002,KORYO DRAGON,컨테이너선,CNTSN,톈진항 (Tianjin),CN,KRGUN,군산항 (Gunsan),RM-CHM-01,리튬 (Lithium Carbonate),화학,1268,톤,2025-03-04 21:56,2025-03-06 00:36,2025-03-06 00:36,0,2025-03-06 02:36,2025-03-06 08:57,2025-03-07 13:44,2025-03-07 15:08,통관중,480,26.7,2,28.8,1.4,2025-03-07
SH-1050,IMO9800005,SUNRISE JEONBUK,벌크선,CNSHA,상하이항 (Shanghai),CN,KRSMG,새만금항 (Saemangeum),RM-RBR-01,합성고무 (Synthetic Rubber),화학,109,톤,2025-03-06 01:26,2025-03-07 14:00,2025-03-07 14:00,0,2025-03-07 18:00,2025-03-07 22:00,2025-03-10 17:57,2025-03-10 18:31,통관중,530,36.6,4,68.0,0.6,2025-03-08
SH-1051,IMO9800007,WEST SEA PRIDE,벌크선,CNNBO,닝보항 (Ningbo),CN,KRSMG,새만금항 (Saemangeum),CP-PCB-01,PCB 기판 (Printed Circuit Board),전자부품,4425,매,2025-03-05 06:04,2025-03-07 00:18,2025-03-07 06:18,6,2025-03-07 06:18,2025-03-08 04:25,2025-03-10 18:10,2025-03-10 18:46,하역중,570,42.2,0,61.7,0.6,2025-03-08
SH-1052,IMO9800007,WEST SEA PRIDE,벌크선,CNSHA,상하이항 (Shanghai),CN,KRGUN,군산항 (Gunsan),RM-STL-01,열연강판 (Hot-Rolled Steel),철강,870,톤,2025-03-06 16:52,2025-03-08 07:23,2025-03-08 07:23,0,2025-03-08 09:23,2025-03-08 13:44,2025-03-10 11:04,2025-03-10 12:59,통관중,520,38.5,2,45.3,1.9,2025-03-09
SH-1053,IMO9800001,HANJIN SAEMANGEUM,벌크선,CNNBO,닝보항 (Ningbo),CN,KRGUN,군산항 (Gunsan),RM-PLS-01,PE 수지 (Polyethylene),화학,980,톤,2025-03-07 09:06,2025-03-09 01:06,2025-03-09 01:06,0,2025-03-09 01:06,2025-03-09 06:00,2025-03-13 10:46,2025-03-13 11:18,통관중,560,40.0,0,100.8,0.5,2025-03-10
SH-1054,IMO9800002,KORYO DRAGON,컨테이너선,CNNBO,닝보항 (Ningbo),CN,KRSMG,새만금항 (Saemangeum),RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,1089,톤,2025-03-08 08:56,2025-03-09 16:36,2025-03-09 16:36,0,2025-03-10 00:36,2025-03-10 06:03,2025-03-12 22:39,2025-03-12 23:21,입항대기,570,31.7,8,64.6,0.7,2025-03-10
SH-1055,IMO9800007,WEST SEA PRIDE,벌크선,CNDLC,다롄항 (Dalian),CN,KRSMG,새만금항 (Saemangeum),CP-BMS-01,BMS 모듈 (Battery Management),전자부품,7381,개,2025-03-07 23:15,2025-03-09 07:06,2025-03-09 07:06,0,2025-03-09 07:06,2025-03-10 20:00,2025-03-12 05:02,2025-03-12 06:07,하역중,430,31.9,0,33.0,1.1,2025-03-10
SH-1056,IMO9800007,WEST SEA PRIDE,벌크선,CNNBO,닝보항 (Ningbo),CN,KRGUN,군산항 (Gunsan),RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,1686,톤,2025-03-08 11:42,2025-03-10 05:11,2025-03-10 05:11,0,2025-03-10 06:11,2025-03-10 14:37,2025-03-12 20:28,2025-03-12 21:40,통관중,560,41.5,1,53.9,1.2,2025-03-11
SH-1057,IMO9800001,HANJIN SAEMANGEUM,벌크선,CNDLC,다롄항 (Dalian),CN,KRGUN,군산항 (Gunsan),RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,225,톤,2025-03-09 16:53,2025-03-10 22:53,2025-03-10 22:53,0,2025-03-10 22:53,2025-03-11 02:53,2025-03-13 04:54,2025-03-13 05:31,하역중,420,30.0,0,50.0,0.6,2025-03-11
SH-1058,IMO9800007,WEST SEA PRIDE,벌크선,CNSHA,상하이항 (Shanghai),CN,KRGUN,군산항 (Gunsan),CP-PCB-01,PCB 기판 (Printed Circuit Board),전자부품,3766,매,2025-03-09 18:06,2025-03-11 08:37,2025-03-11 12:37,4,2025-03-11 16:37,2025-03-12 11:26,2025-03-14 06:21,2025-03-14 07:45,하역중,520,38.5,4,42.9,1.4,2025-03-12
SH-1059,IMO9800005,SUNRISE JEONBUK,벌크선,CNNBO,닝보항 (Ningbo),CN,KRGUN,군산항 (Gunsan),RM-PLS-01,PE 수지 (Polyethylene),화학,623,톤,2025-03-11 08:36,2025-03-12 23:14,2025-03-12 23:14,0,2025-03-13 00:14,2025-03-13 04:14,2025-03-14 04:37,2025-03-14 05:52,입항대기,560,38.6,1,24.4,1.3,2025-03-13
SH-1060,IMO9800005,SUNRISE JEONBUK,벌크선,CNSHA,상하이항 (Shanghai),CN,KRSMG,새만금항 (Saemangeum),RM-CPR-01,전해동판 (Copper Cathode),비철금속,1696,톤,2025-03-10 20:22,2025-03-12 08:55,2025-03-13 08:55,24,2025-03-13 12:55,2025-03-13 21:24,2025-03-14 09:33,2025-03-14 10:11,항해중,530,36.6,4,12.2,0.6,2025-03-13
SH-1061,IMO9800004,GUNSAN GLORY,컨테이너선,CNTSN,톈진항 (Tianjin),CN,KRSMG,새만금항 (Saemangeum),CP-BMS-01,BMS 모듈 (Battery Management),전자부품,864,개,2025-03-12 11:42,2025-03-13 18:19,2025-03-13 18:19,0,2025-03-13 19:19,2025-03-13 23:39,2025-03-14 15:23,2025-03-14 16:05,통관중,490,30.6,1,15.7,0.7,2025-03-14
SH-1062,IMO9800003,YELLOW SEA STAR,벌크선,JPTYO,도쿄항 (Tokyo),JP,KRSMG,새만금항 (Saemangeum),CP-BMS-01,BMS 모듈 (Battery Management),전자부품,2406,개,2025-03-11 18:11,2025-03-13 23:16,2025-03-13 23:16,0,2025-03-13 23:16,2025-03-14 11:17,2025-03-15 13:50,2025-03-15 14:54,하역중,690,53.1,0,26.5,1.1,2025-03-14
SH-1063,IMO9800002,KORYO DRAGON,컨테이너선,CNNBO,닝보항 (Ningbo),CN,KRGUN,군산항 (Gunsan),CP-BMS-01,BMS 모듈 (Battery Management),전자부품,8061,개,2025-03-12 09:01,2025-03-13 16:08,2025-03-14 16:08,24,2025-03-14 17:08,2025-03-16 09:26,2025-03-18 20:47,2025-03-18 21:25,항해중,560,31.1,1,59.4,0.6,2025-03-14
SH-1064,IMO9800002,KORYO DRAGON,컨테이너선,CNDLC,다롄항 (Dalian),CN,KRGUN,군산항 (Gunsan),CP-BMS-01,BMS 모듈 (Battery Management),전자부품,5901,개,2025-03-13 21:36,2025-03-14 20:56,2025-03-14 20:56,0,2025-03-14 20:56,2025-03-16 02:26,2025-03-18 02:53,2025-03-18 04:08,하역중,420,23.3,0,48.5,1.2,2025-03-15
