date,material_code,material_name,category,unit,current_stock,daily_usage,incoming,dos,safety_stock_days,safety_stock_qty,safety_ratio,shortage_forecast_days,cover_days,coverage_pct,risk_level,stock_value_krw,unit_cost,lead_time_days
2025-04-12,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,639.7,49.3,251.5,12.8,14,700,0.91,12.8,12.8,91.4,MEDIUM,543714939,850000,5
2025-04-13,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,990.6,51.3,402.2,19.8,14,700,1.42,19.8,14.0,100.0,LOW,842033933,850000,5
2025-04-14,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,942.6,48.0,0.0,18.9,14,700,1.35,18.9,14.0,100.0,LOW,801209357,850000,5
2025-04-15,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,886.1,56.5,0.0,17.7,14,700,1.27,17.7,14.0,100.0,LOW,753205130,850000,5
2025-04-16,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1262.1,48.0,424.1,25.2,14,700,1.8,25.2,14.0,100.0,LOW,1072810986,850000,5
2025-04-17,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1207.8,54.3,0.0,24.2,14,700,1.73,24.2,14.0,100.0,LOW,1026655328,850000,5
2025-04-18,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1156.2,51.7,0.0,23.1,14,700,1.65,23.1,14.0,100.0,LOW,982739797,850000,5
2025-04-19,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1536.7,58.8,439.4,30.7,14,700,2.2,30.7,14.0,100.0,LOW,1306199784,850000,5
2025-04-20,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1494.1,42.6,0.0,29.9,14,700,2.13,29.9,14.0,100.0,LOW,1269990975,850000,5
2025-04-21,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1442.7,51.4,0.0,28.9,14,700,2.06,28.9,14.0,100.0,LOW,1226270220,850000,5
2025-04-22,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1394.2,48.4,0.0,27.9,14,700,1.99,27.9,14.0,100.0,LOW,1185089683,850000,5
2025-04-23,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1688.3,53.5,347.6,33.8,14,700,2.41,33.8,14.0,100.0,LOW,1435089444,850000,5
2025-04-24,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1629.7,58.6,0.0,32.6,14,700,2.33,32.6,14.0,100.0,LOW,1385276538,850000,5
2025-04-25,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1587.0,42.8,0.0,31.7,14,700,2.27,31.7,14.0,100.0,LOW,1348911568,850000,5
2025-04-26,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1929.9,43.7,386.6,38.6,14,700,2.76,38.6,14.0,100.0,LOW,1640446044,850000,5
2025-04-27,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1871.1,58.9,0.0,37.4,14,700,2.67,37.4,14.0,100.0,LOW,1590398345,850000,5
2025-04-28,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1818.4,52.7,0.0,36.4,14,700,2.6,36.4,14.0,100.0,LOW,1545614569,850000,5
2025-04-29,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1768.4,50.0,0.0,35.4,14,700,2.53,35.4,14.0,100.0,LOW,1503138866,850000,5
2025-04-30,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,2138.7,49.5,419.8,42.8,14,700,3.06,42.8,14.0,100.0,LOW,1817854648,850000,5
2025-05-01,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,2098.6,40.1,0.0,42.0,14,700,3.0,42.0,14.0,100.0,LOW,1783805667,850000,5
2025-05-02,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,2047.6,51.0,0.0,41.0,14,700,2.93,41.0,14.0,100.0,LOW,1740420488,850000,5
2025-05-03,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,2000.1,47.4,0.0,40.0,14,700,2.86,40.0,14.0,100.0,LOW,1700110740,850000,5
2025-05-04,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1947.2,53.0,0.0,38.9,14,700,2.78,38.9,14.0,100.0,LOW,1655099617,850000,5
2025-05-05,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1906.5,40.7,0.0,38.1,14,700,2.72,38.1,14.0,100.0,LOW,1620488659,850000,5
2025-05-06,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1863.9,42.5,0.0,37.3,14,700,2.66,37.3,14.0,100.0,LOW,1584351347,850000,5
2025-05-07,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1822.9,41.0,0.0,36.5,14,700,2.6,36.5,14.0,100.0,LOW,1549463970,850000,5
2025-05-08,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,2154.7,51.6,383.4,43.1,14,700,3.08,43.1,14.0,100.0,LOW,1831510822,850000,5
2025-05-09,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,2098.3,56.5,0.0,42.0,14,700,3.0,42.0,14.0,100.0,LOW,1783514562,850000,5
2025-05-10,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,2056.3,42.0,0.0,41.1,14,700,2.94,41.1,14.0,100.0,LOW,1747816826,850000,5
2025-05-11,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1998.0,58.2,0.0,40.0,14,700,2.85,40.0,14.0,100.0,LOW,1698328658,850000,5
2025-05-12,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,2204.6,59.0,265.6,44.1,14,700,3.15,44.1,14.0,100.0,LOW,1873945503,850000,5
2025-05-13,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,2146.5,58.1,0.0,42.9,14,700,3.07,42.9,14.0,100.0,LOW,1824542383,850000,5
2025-05-14,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,2505.8,57.6,416.8,50.1,14,700,3.58,50.1,14.0,100.0,LOW,2129909321,850000,5
2025-05-15,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,2456.7,49.1,0.0,49.1,14,700,3.51,49.1,14.0,100.0,LOW,2088175700,850000,5
2025-05-16,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,2414.0,42.6,0.0,48.3,14,700,3.45,48.3,14.0,100.0,LOW,2051939889,850000,5
2025-05-17,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,2372.5,41.5,0.0,47.5,14,700,3.39,47.5,14.0,100.0,LOW,2016641345,850000,5
2025-02-17,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,235.0,19.5,0.0,11.8,10,200,1.18,11.8,11.8,83.9,LOW,752120628,3200000,4
2025-02-18,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,213.1,21.9,0.0,10.7,10,200,1.07,10.7,10.7,76.1,LOW,682001548,3200000,4
2025-02-19,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,192.6,20.6,0.0,9.6,10,200,0.96,9.6,9.6,68.8,MEDIUM,616192918,3200000,4
2025-02-20,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,172.2,20.4,0.0,8.6,10,200,0.86,8.6,8.6,61.5,MEDIUM,550954337,3200000,4
2025-02-21,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,151.8,20.4,0.0,7.6,10,200,0.76,7.6,7.6,54.2,MEDIUM,485752078,3200000,4
2025-02-22,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,319.4,18.3,185.9,16.0,10,200,1.6,16.0,14.0,100.0,LOW,1022054721,3200000,4
2025-02-23,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,297.7,21.7,0.0,14.9,10,200,1.49,14.9,14.0,100.0,LOW,952675254,3200000,4
2025-02-24,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,419.4,19.8,141.5,21.0,10,200,2.1,21.0,14.0,100.0,LOW,1342185715,3200000,4
2025-02-25,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,395.5,23.9,0.0,19.8,10,200,1.98,19.8,14.0,100.0,LOW,1265636368,3200000,4
2025-02-26,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,374.3,21.2,0.0,18.7,10,200,1.87,18.7,14.0,100.0,LOW,1197771860,3200000,4
2025-02-27,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,352.1,22.2,0.0,17.6,10,200,1.76,17.6,14.0,100.0,LOW,1126682503,3200000,4
2025-02-28,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,331.1,21.0,0.0,16.6,10,200,1.66,16.6,14.0,100.0,LOW,1059617298,3200000,4
2025-03-01,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,312.6,18.5,0.0,15.6,10,200,1.56,15.6,14.0,100.0,LOW,1000349534,3200000,4
2025-03-02,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,292.4,20.2,0.0,14.6,10,200,1.46,14.6,14.0,100.0,LOW,935651545,3200000,4
2025-03-03,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,271.2,21.1,0.0,13.6,10,200,1.36,13.6,13.6,96.9,LOW,867995381,3200000,4
2025-03-04,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,252.5,18.7,0.0,12.6,10,200,1.26,12.6,12.6,90.2,LOW,808159473,3200000,4
2025-03-05,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,236.1,16.5,0.0,11.8,10,200,1.18,11.8,11.8,84.3,LOW,755407373,3200000,4
2025-03-06,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,212.6,23.4,0.0,10.6,10,200,1.06,10.6,10.6,75.9,LOW,680383839,3200000,4
2025-03-07,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,196.3,16.4,0.0,9.8,10,200,0.98,9.8,9.8,70.1,MEDIUM,628043005,3200000,4
2025-03-08,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,174.2,22.1,0.0,8.7,10,200,0.87,8.7,8.7,62.2,MEDIUM,557359144,3200000,4
2025-03-09,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,150.5,23.7,0.0,7.5,10,200,0.75,7.5,7.5,53.7,MEDIUM,481524003,3200000,4
2025-03-10,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,128.4,22.1,0.0,6.4,10,200,0.64,6.4,6.4,45.9,MEDIUM,410846132,3200000,4
2025-03-11,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,108.7,19.7,0.0,5.4,10,200,0.54,5.4,5.4,38.8,MEDIUM,347906024,3200000,4
2025-03-12,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,88.9,19.9,0.0,4.4,10,200,0.44,4.4,4.4,31.7,HIGH,284383890,3200000,4
2025-03-13,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,71.8,17.1,0.0,3.6,10,200,0.36,3.6,3.6,25.6,HIGH,229676714,3200000,4
2025-03-14,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,52.6,19.1,0.0,2.6,10,200,0.26,2.6,2.6,18.8,CRITICAL,168445141,3200000,4
2025-03-15,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,31.5,21.1,0.0,1.6,10,200,0.16,1.6,1.6,11.3,CRITICAL,100949752,3200000,4
2025-03-16,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,7.9,23.6,0.0,0.4,10,200,0.04,0.4,0.4,2.8,CRITICAL,25352440,3200000,4
2025-03-17,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,0.0,19.7,0.0,0.0,10,200,0.0,0.0,0.0,0.0,CRITICAL,0,3200000,4
2025-03-18,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,158.4,17.7,176.1,7.9,10,200,0.79,7.9,7.9,56.6,MEDIUM,506890149,3200000,4
2025-03-19,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,136.5,21.9,0.0,6.8,10,200,0.68,6.8,6.8,48.8,MEDIUM,436947810,3200000,4
2025-03-20,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,117.4,19.2,0.0,5.9,10,200,0.59,5.9,5.9,41.9,MEDIUM,375630538,3200000,4
2025-03-21,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,98.2,19.1,0.0,4.9,10,200,0.49,4.9,4.9,35.1,HIGH,314375018,3200000,4
2025-03-22,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,79.8,18.5,0.0,4.0,10,200,0.4,4.0,4.0,28.5,HIGH,255239019,3200000,4
2025-03-23,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,57.5,22.3,0.0,2.9,10,200,0.29,2.9,2.9,20.5,CRITICAL,184036489,3200000,4
2025-03-24,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,34.7,22.8,0.0,1.7,10,200,0.17,1.7,1.7,12.4,CRITICAL,110943190,3200000,4
2025-03-25,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,12.4,22.3,0.0,0.6,10,200,0.06,0.6,0.6,4.4,CRITICAL,39662016,3200000,4
2025-03-26,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,74.9,22.4,84.9,3.7,10,200,0.37,3.7,3.7,26.7,HIGH,239554216,3200000,4
2025-03-27,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,54.7,20.1,0.0,2.7,10,200,0.27,2.7,2.7,19.6,CRITICAL,175178315,3200000,4
2025-03-28,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,36.8,18.0,0.0,1.8,10,200,0.18,1.8,1.8,13.1,CRITICAL,117685645,3200000,4
2025-03-29,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,20.8,16.0,0.0,1.0,10,200,0.1,1.0,1.0,7.4,CRITICAL,66474309,3200000,4
2025-03-30,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,0.0,23.9,0.0,0.0,10,200,0.0,0.0,0.0,0.0,CRITICAL,0,3200000,4
2025-03-31,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,0.0,20.1,0.0,0.0,10,200,0.0,0.0,0.0,0.0,CRITICAL,0,3200000,4
2025-04-01,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,105.5,16.7,122.2,5.3,10,200,0.53,5.3,5.3,37.7,MEDIUM,337553201,3200000,4
2025-04-02,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,87.3,18.2,0.0,4.4,10,200,0.44,4.4,4.4,31.2,HIGH,279299174,3200000,4
2025-04-03,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,68.2,19.1,0.0,3.4,10,200,0.34,3.4,3.4,24.4,HIGH,218209300,3200000,4
2025-04-04,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,45.4,22.8,0.0,2.3,10,200,0.23,2.3,2.3,16.2,CRITICAL,145319146,3200000,4
2025-04-05,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,186.9,23.8,165.2,9.3,10,200,0.93,9.3,9.3,66.7,MEDIUM,597969150,3200000,4
2025-04-06,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,169.0,17.8,0.0,8.5,10,200,0.85,8.5,8.5,60.4,MEDIUM,540914573,3200000,4
2025-04-07,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,147.6,21.4,0.0,7.4,10,200,0.74,7.4,7.4,52.7,MEDIUM,472318095,3200000,4
2025-04-08,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,125.8,21.8,0.0,6.3,10,200,0.63,6.3,6.3,44.9,MEDIUM,402707602,3200000,4
2025-04-09,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,107.2,18.6,0.0,5.4,10,200,0.54,5.4,5.4,38.3,MEDIUM,343153338,3200000,4
2025-04-10,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,87.8,19.4,0.0,4.4,10,200,0.44,4.4,4.4,31.4,HIGH,280942704,3200000,4
2025-04-11,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,68.6,19.2,0.0,3.4,10,200,0.34,3.4,3.4,24.5,HIGH,219478595,3200000,4
2025-04-12,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,45.5,23.1,0.0,2.3,10,200,0.23,2.3,2.3,16.2,CRITICAL,145523077,3200000,4
2025-04-13,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,27.4,18.0,0.0,1.4,10,200,0.14,1.4,1.4,9.8,CRITICAL,87787165,3200000,4
2025-04-14,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,11.2,16.3,0.0,0.6,10,200,0.06,0.6,0.6,4.0,CRITICAL,35747238,3200000,4
2025-04-15,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,톤,0.0,18.4,0.0,0.0,10,200,0.0,0.0,0.0,0.0,CRITICAL,0,3200000,4
